power android.os.IPowerManager POWER_SERVICE
recovery android.os.IRecoverySystem RECOVERY_SERVICE
system_update android.os.ISystemUpdateManager SYSTEM_UPDATE_SERVICE
window android.view.IWindowManager WINDOW_SERVICE
account android.accounts.IAccountManager ACCOUNT_SERVICE
activity android.app.IActivityManager ACTIVITY_SERVICE
alarm android.app.IAlarmManager ALARM_SERVICE
notification android.app.INotificationManager NOTIFICATION_SERVICE
accessibility android.view.accessibility.IAccessibilityManager ACCESSIBILITY_SERVICE
location android.location.ILocationManager LOCATION_SERVICE
search android.app.ISearchManager SEARCH_SERVICE
storagestats android.app.usage.IStorageStatsManager STORAGE_STATS_SERVICE
wallpaper android.app.IWallpaperManager WALLPAPER_SERVICE
vibrator android.os.IVibratorService VIBRATOR_SERVICE
statusbar com.android.internal.statusbar.IStatusBarService STATUS_BAR_SERVICE
connectivity android.net.IConnectivityManager CONNECTIVITY_SERVICE
ipsec android.net.IIpSecService IPSEC_SERVICE
updatelock android.os.IUpdateLock UPDATE_LOCK_SERVICE
network_management android.os.INetworkManagementService NETWORKMANAGEMENT_SERVICE
slice android.app.slice.ISliceManager SLICE_SERVICE
netstats android.net.INetworkStatsService NETWORK_STATS_SERVICE
netpolicy android.net.INetworkPolicyManager NETWORK_POLICY_SERVICE
network_watchlist com.android.internal.net.INetworkWatchlistManager NETWORK_WATCHLIST_SERVICE
wifi android.net.wifi.IWifiManager WIFI_SERVICE
wifip2p android.net.wifi.p2p.IWifiP2pManager WIFI_P2P_SERVICE
wifiscanner android.net.wifi.IWifiScanner WIFI_SCANNING_SERVICE
servicediscovery android.net.nsd.INsdManager NSD_SERVICE
audio android.media.IAudioService AUDIO_SERVICE
fingerprint android.hardware.fingerprint.IFingerprintService FINGERPRINT_SERVICE
media_router android.media.IMediaRouterService MEDIA_ROUTER_SERVICE
media_session android.media.session.ISessionManager MEDIA_SESSION_SERVICE
phone com.android.internal.telephony.ITelephony TELEPHONY_SERVICE
telecom com.android.internal.telecom.ITelecomService TELECOM_SERVICE
carrier_config com.android.internal.telephony.ICarrierConfigLoader CARRIER_CONFIG_SERVICE
clipboard android.content.IClipboard CLIPBOARD_SERVICE
textclassification android.service.textclassifier.ITextClassifierService TEXT_CLASSIFICATION_SERVICE
input_method com.android.internal.view.IInputMethodManager INPUT_METHOD_SERVICE
textservices com.android.internal.textservice.ITextServicesManager TEXT_SERVICES_MANAGER_SERVICE
appwidget com.android.internal.appwidget.IAppWidgetService APPWIDGET_SERVICE
voiceinteraction com.android.internal.app.IVoiceInteractionManagerService VOICE_INTERACTION_MANAGER_SERVICE
autofill android.view.autofill.IAutoFillManager AUTOFILL_MANAGER_SERVICE
soundtrigger com.android.internal.app.ISoundTriggerService SOUND_TRIGGER_SERVICE
backup android.app.backup.IBackupManager BACKUP_SERVICE
dropbox com.android.internal.os.IDropBoxManagerService DROPBOX_SERVICE
device_policy android.app.admin.IDevicePolicyManager DEVICE_POLICY_SERVICE
uimode android.app.IUiModeManager UI_MODE_SERVICE
usb android.hardware.usb.IUsbManager USB_SERVICE
serial android.hardware.ISerialManager SERIAL_SERVICE
input android.hardware.input.IInputManager INPUT_SERVICE
display android.hardware.display.IDisplayManager DISPLAY_SERVICE
user android.os.IUserManager USER_SERVICE
launcherapps android.content.pm.ILauncherApps LAUNCHER_APPS_SERVICE
restrictions android.content.IRestrictionsManager RESTRICTIONS_SERVICE
appops com.android.internal.app.IAppOpsService APP_OPS_SERVICE
print android.print.IPrintManager PRINT_SERVICE
consumer_ir android.hardware.IConsumerIrService CONSUMER_IR_SERVICE
trust android.app.trust.ITrustManager TRUST_SERVICE
network_score android.net.INetworkScoreService NETWORK_SCORE_SERVICE
usagestats android.app.usage.IUsageStatsManager USAGE_STATS_SERVICE
jobscheduler android.app.job.IJobScheduler JOB_SCHEDULER_SERVICE
media_projection android.media.projection.IMediaProjectionManager MEDIA_PROJECTION_SERVICE
midi android.media.midi.IMidiManager MIDI_SERVICE
hardware_properties android.os.IHardwarePropertiesManager HARDWARE_PROPERTIES_SERVICE
shortcut android.content.pm.IShortcutService SHORTCUT_SERVICE
contexthub android.hardware.location.IContextHubService CONTEXTHUB_SERVICE
device_identifiers android.os.IDeviceIdentifiersPolicyService DEVICE_IDENTIFIERS_SERVICE
statscompanion android.os.IStatsCompanionService STATS_COMPANION_SERVICE
overlay android.content.om.IOverlayManager OVERLAY_SERVICE
vrmanager android.service.vr.IVrManager VR_SERVICE
crossprofileapps android.content.pm.ICrossProfileApps CROSS_PROFILE_APPS_SERVICE
secure_element android.se.omapi.ISecureElementService SECURE_ELEMENT_SERVICE
